Company,Date,Close,Adj Close,Volume,Daily Return,% Daily Return
FB,10/20/2021,340.78,340.78,13639500,0.00,0.23
FB,10/21/2021,341.88,341.88,16354400,0.00,0.32
FB,10/22/2021,324.61,324.61,35152700,-0.05,-5.18
FB,10/25/2021,328.69,328.69,38409000,0.01,1.25
GOOG,10/1/2021,2729.25,2729.25,1419400,0.02,2.37
GOOG,10/4/2021,2675.3,2675.3,1576500,-0.02,-2.00
GOOG,10/5/2021,2723.54,2723.54,1206300,0.02,1.79
GOOG,10/6/2021,2747.08,2747.08,988200,0.01,0.86
GOOG,10/7/2021,2783.71,2783.71,912500,0.01,1.32
GOOG,10/8/2021,2801.12,2801.12,946200,0.01,0.62
GOOG,10/11/2021,2776.95,2776.95,829200,-0.01,-0.87
GOOG,10/12/2021,2734.26,2734.26,1126800,-0.02,-1.55
GOOG,10/13/2021,2758,2758,819000,0.01,0.86
GOOG,10/14/2021,2828.24,2828.24,1071300,0.03,2.51
GOOG,10/15/2021,2833.5,2833.5,1062500,0.00,0.19
GOOG,10/18/2021,2859.21,2859.21,828200,0.01,0.90
GOOG,10/19/2021,2876.44,2876.44,765800,0.01,0.60
GOOG,10/20/2021,2848.3,2848.3,897000,-0.01,-0.98
GOOG,10/21/2021,2855.61,2855.61,742500,0.00,0.26
GOOG,10/22/2021,2772.5,2772.5,1507600,-0.03,-2.95
GOOG,10/25/2021,2775.46,2775.46,1054100,0.00,0.11
KO,10/1/2021,53.02,53.02,16277400,0.01,1.04
KO,10/4/2021,52.99,52.99,18973400,0.00,-0.06
KO,10/5/2021,53.08,53.08,17173100,0.00,0.17
KO,10/6/2021,53.71,53.71,21284500,0.01,1.18
KO,10/7/2021,53.88,53.88,13774400,0.00,0.32
KO,10/8/2021,54.12,54.12,13786000,0.00,0.44
KO,10/11/2021,54.23,54.23,12378500,0.00,0.20
KO,10/12/2021,54.23,54.23,19474400,0.00,0.00
KO,10/13/2021,54.24,54.24,12143300,0.00,0.02
KO,10/14/2021,54.61,54.61,13704000,0.01,0.68
KO,10/15/2021,54.48,54.48,17867000,0.00,-0.24
KO,10/18/2021,53.94,53.94,15861800,-0.01,-1.00
KO,10/19/2021,54.15,54.15,11068500,0.00,0.39
KO,10/20/2021,54.63,54.63,12474800,0.01,0.88
KO,10/21/2021,54.35,54.35,14388300,-0.01,-0.51
KO,10/22/2021,54.45,54.45,12828600,0.00,0.18
KO,10/25/2021,54.23,54.23,11855000,0.00,-0.40
MCD,10/1/2021,242.93,242.93,2076000,0.01,0.75
MCD,10/4/2021,243.08,243.08,2236500,0.00,0.06
MCD,10/5/2021,245.22,245.22,2463100,0.01,0.88
MCD,10/6/2021,247.1,247.1,2107900,0.01,0.76
MCD,10/7/2021,248.32,248.32,2423900,0.00,0.49
MCD,10/8/2021,247.7,247.7,1687500,0.00,-0.25
MCD,10/11/2021,246.58,246.58,1504000,0.00,-0.45
MCD,10/12/2021,244.52,244.52,2346700,-0.01,-0.84
MCD,10/13/2021,242.65,242.65,3214300,-0.01,-0.77
MCD,10/14/2021,244.55,244.55,2512000,0.01,0.78
MCD,10/15/2021,242.25,242.25,2564700,-0.01,-0.94
MCD,10/18/2021,242.26,242.26,2484900,0.00,0.00
MCD,10/19/2021,242.77,242.77,2071600,0.00,0.21
MCD,10/20/2021,239.72,239.72,3040200,-0.01,-1.26
MCD,10/21/2021,241.4,241.4,2702400,0.01,0.70
MCD,10/22/2021,238.44,238.44,3282900,-0.01,-1.23
MCD,10/25/2021,237.34,237.34,3178400,0.00,-0.46
NFLX,10/1/2021,613.15,613.15,4090800,0.00,0.46
NFLX,10/4/2021,603.35,603.35,4995900,-0.02,-1.61
NFLX,10/5/2021,634.81,634.81,9534300,0.05,5.08
NFLX,10/6/2021,639.1,639.1,4580400,0.01,0.67
NFLX,10/7/2021,631.85,631.85,3556900,-0.01,-1.14
NFLX,10/8/2021,632.66,632.66,3271100,0.00,0.13
NFLX,10/11/2021,627.04,627.04,2862500,-0.01,-0.89
NFLX,10/12/2021,624.94,624.94,3227300,0.00,-0.34
NFLX,10/13/2021,629.76,629.76,2420300,0.01,0.77
NFLX,10/14/2021,633.8,633.8,2671700,0.01,0.64
NFLX,10/15/2021,628.29,628.29,4114400,-0.01,-0.87
NFLX,10/18/2021,637.97,637.97,4669100,0.02,1.53
NFLX,10/19/2021,639,639,7633100,0.00,0.16
NFLX,10/20/2021,625.14,625.14,10622000,-0.02,-2.19
NFLX,10/21/2021,653.16,653.16,8437100,0.04,4.38
NFLX,10/22/2021,664.78,664.78,6179700,0.02,1.76
NFLX,10/25/2021,671.66,671.66,3833500,0.01,1.03
TSLA,10/1/2021,775.22,775.22,17031400,0.00,-0.03
TSLA,10/4/2021,781.53,781.53,30483300,0.01,0.81
TSLA,10/5/2021,780.59,780.59,18432600,0.00,-0.12
TSLA,10/6/2021,782.75,782.75,14632800,0.00,0.28
TSLA,10/7/2021,793.61,793.61,19195800,0.01,1.38
TSLA,10/8/2021,785.49,785.49,16711100,-0.01,-1.03
TSLA,10/11/2021,791.94,791.94,14200300,0.01,0.82
TSLA,10/12/2021,805.72,805.72,22020000,0.02,1.73
TSLA,10/13/2021,811.08,811.08,14120100,0.01,0.66
TSLA,10/14/2021,818.32,818.32,12247200,0.01,0.89
TSLA,10/15/2021,843.03,843.03,18818000,0.03,2.97
TSLA,10/18/2021,870.11,870.11,24207200,0.03,3.16
TSLA,10/19/2021,864.27,864.27,17381100,-0.01,-0.67
TSLA,10/20/2021,865.8,865.8,14032100,0.00,0.18
TSLA,10/21/2021,894,894,31481500,0.03,3.21
TSLA,10/22/2021,909.68,909.68,22836800,0.02,1.74
TSLA,10/25/2021,1024.86,1024.86,62852100,0.12,11.92
